id,frase,autor,categoria
1,"Comece hoje, não amanhã.","BCS Flows","Disciplina"
2,"A persistência é o caminho do êxito.","Charles Chaplin","Persistência"
3,"Não espere por uma crise para descobrir o que é importante em sua vida.","Platão","Sabedoria"
4,"A coragem não é a ausência do medo, mas o triunfo sobre ele.","Nelson Mandela","Coragem"
5,"Se você pode sonhar, você pode realizar.","Walt Disney","Sucesso"
6,"O segredo de progredir é começar.","Mark Twain","Ação"
7,"Tudo o que um sonho precisa para ser realizado é alguém que acredite que ele possa ser realizado.","Roberto Shinyashiki","Superação"
8,"Você deve ser a mudança que deseja ver no mundo.","Mahatma Gandhi","Autoconhecimento"
9,"É parte da cura o desejo de ser curado.","Sêneca","Superação"
10,"A felicidade não é algo pronto. Ela vem de suas próprias ações.","Dalai Lama","Foco"
11,"Transportai um punhado de terra todos os dias e fareis uma montanha.","Confúcio","Persistência"
12,"O que não nos mata nos fortalece.","Friedrich Nietzsche","Resiliência"
13,"Quem tem um 'porquê' para viver pode suportar quase qualquer 'como'.","Viktor Frankl","Resiliência"
14,"Acredite que você pode e você já está no meio do caminho.","Theodore Roosevelt","Foco"
15,"Não encontre defeitos, encontre soluções.","Henry Ford","Liderança"
16,"O fracasso é apenas a oportunidade de começar de novo, desta vez de forma mais inteligente.","Henry Ford","Resiliência"
17,"Faça o seu melhor, na condição que você tem, enquanto não tem condições melhores para fazer melhor ainda.","Mario Sergio Cortella","Disciplina"
18,"Na crise, crie.","Autor Desconhecido","Criatividade"
19,"O futuro pertence àqueles que acreditam na beleza de seus sonhos.","Eleanor Roosevelt","Sucesso"
20,"Pense como um homem de ação e aja como um homem de pensamento.","Henri Bergson","Ação"
21,"No meio da dificuldade encontra-se a oportunidade.","Albert Einstein","Superação"
22,"Tudo parece impossível até que seja feito.","Nelson Mandela","Persistência"
23,"Se a oportunidade não bater à porta, construa uma porta.","Milton Berle","Ação"
24,"O único modo de fazer um ótimo trabalho é amar o que você faz.","Steve Jobs","Trabalho"
25,"Se você não pode fazer grandes coisas, faça pequenas coisas de uma forma grande.","Napoleon Hill","Disciplina"
26,"Sua mente é seu maior poder. Use-a a seu favor.","Autor Desconhecido","Foco"
27,"Comece hoje, não amanhã.","Muhammad Ali","Ação"
28,"Sem pequenos passos, não existem grandes jornadas.","Provérbio Chinês","Persistência"
29,"Caiu sete vezes, levante-se oito.","Provérbio Japonês","Resiliência"
30,"A disciplina é a ponte entre metas e realizações.","Jim Rohn","Disciplina"
31,"Metas altas revelam forças escondidas.","Ayrton Senna","Superação"
32,"A melhor maneira de prever o futuro é criá-lo.","Peter Drucker","Liderança"
33,"Determinando o objetivo e mantendo o foco, o resultado é inevitável.","Autor Desconhecido","Foco"
34,"Não importa o quão devagar você vá, desde que você não pare.","Confúcio","Persistência"
35,"Valorize cada vitória, por menor que pareça.","Autor Desconhecido","Gratidão"
36,"O conhecimento fala, mas a sabedoria escuta.","Jimi Hendrix","Sabedoria"
37,"A paciência é amarga, mas seus frutos são doces.","Jean-Jacques Rousseau","Persistência"
38,"Tudo vale a pena se a alma não é pequena.","Fernando Pessoa","Superação"
39,"A dúvida é o princípio da sabedoria.","René Descartes","Sabedoria"
40,"A vitória ama a preparação.","Provérbio Latino","Disciplina"
41,"Trabalhe em silêncio e deixe que seu sucesso faça barulho.","Autor Desconhecido","Foco"
42,"Sonhos não funcionam a menos que você trabalhe.","John C. Maxwell","Trabalho"
43,"A vida é 10% o que acontece com você e 90% como você reage a isso.","Charles R. Swindoll","Resiliência"
44,"Nenhum vento é favorável para quem não sabe para onde vai.","Sêneca","Foco"
45,"Transforme suas feridas em sabedoria.","Oprah Winfrey","Resiliência"
46,"Quem domina a si mesmo é mais forte do que quem domina uma cidade.","Provérbio","Autoconhecimento"
47,"A consistência supera a genialidade não praticada.","Autor Desconhecido","Disciplina"
48,"Um passo de cada vez constrói a caminhada inteira.","Autor Desconhecido","Persistência"
49,"O sucesso é a soma de pequenos esforços repetidos dia após dia.","Robert Collier","Disciplina"
50,"Seja você mesmo; todos os outros papéis já estão ocupados.","Oscar Wilde","Autoconhecimento"
51,"Quando você confia no seu potencial, erguer-se com mais força após cada queda no percurso e o tempo recompensará a sua dedicação sincera.","Guimarães Rosa","Resiliência"
52,"O sucesso diário é construído quando fazer o que é certo, mesmo quando ninguém está olhando pois a coragem de começar já é metade da vitória.","Provérbio Africano","Disciplina"
53,"Para transformar seus sonhos em realidade, cultivar a gratidão pelas pequenas vitórias da rotina porque a ação no presente ilumina o caminho do amanhã.","Provérbio Japonês","Gratidão"
54,"A mentalidade de crescimento é superar os próprios limites todos os dias pois a mente que se expande jamais volta ao tamanho original.","Henry Ford","Superação"
55,"A gratidão abre portas para cultivar a gratidão pelas pequenas vitórias da rotina e a sua determinação inspirará todos ao seu redor.","Mahatma Gandhi","Gratidão"
